voca_id,word,reason,has_meaning,in_admin_book,fixed_word,wiktionary
33460,-fold,affix,True,False,,
46956,-legged,affix,True,False,,
34347,-less,affix,True,False,,
35029,-meter,affix,True,False,,
36126,-ward,affix,True,False,,
31960,",which",comma_garbage,True,False,,
31961,",who",comma_garbage,True,False,,
38557,..-oriented,bracket_garbage,True,False,,
38549,...-fold,bracket_garbage,True,False,,
38551,...-free,bracket_garbage,True,False,,
38567,...year-old,bracket_garbage,True,False,,
49178,.allowance,lead_symbol_dup,True,False,,
49174,.baste,lead_symbol_dup,True,False,,
49177,.deep,lead_symbol_dup,True,False,,
49176,.down,lead_symbol_dup,True,False,,
49180,.front,lead_symbol_dup,True,False,,
49183,.left,lead_symbol_dup,True,False,,
49186,.other,lead_symbol_dup,True,False,,
49184,.placket,lead_symbol_dup,True,False,,
49181,.princess,lead_symbol_dup,True,False,,
49185,.right,lead_symbol_dup,True,False,,
49187,.tail,lead_symbol_dup,True,False,,
49179,.up,lead_symbol_dup,True,False,,
49175,.welt,lead_symbol_dup,True,False,,
49182,.yoke,lead_symbol_dup,True,False,,
51385,(soil)liquefaction,bracket_dup,True,False,,
36956,[gain]~weight.,bracket_garbage,True,False,,
40770,"[upper,lower]limb",bracket_dup,True,False,,
40761,[upper]respiratory,bracket_dup,True,False,,
17897,~free,bracket_garbage,True,False,,
31797,01,lead_symbol_garbage,True,False,,
31796,02,lead_symbol_garbage,True,False,,
44182,0ld,lead_symbol_garbage,True,False,,
37710,1-1represent,lead_symbol_garbage,True,False,,
37708,1-2copyright,lead_symbol_garbage,True,False,,
37706,1-3overestimate,lead_symbol_garbage,True,False,,
37705,1-4nutrition,lead_symbol_garbage,True,False,,
37704,1-6disastrous,lead_symbol_garbage,True,False,,
37703,1-7toleration,lead_symbol_garbage,True,False,,
37702,1-8literary,lead_symbol_garbage,True,False,,
40867,1000B.C.,lead_symbol_garbage,True,False,,
34914,19-20page,lead_symbol_garbage,True,False,,
28534,411,lead_symbol_garbage,True,False,,
7005,Absolutely.,tail_period_dup,True,False,,
35593,add-on(s),bracket_dup,True,False,,
50547,alert.,tail_period_dup,True,False,,
7004,Always.,tail_period_dup,True,False,,
7003,Amazing.,tail_period_dup,True,False,,
43479,amenable.,tail_period_dup,True,False,,
43452,amphibolous=ambiguous,bracket_dup,True,False,,
48500,ante=before,bracket_dup,True,False,,
48501,anti=against,affix,True,False,,
37085,antidote(s),bracket_dup,True,False,,
51488,arch.,tail_period_dup,True,False,,
37334,as~as…,bracket_garbage,True,False,,
43489,assume.,tail_period_dup,True,False,,
38025,axe=ax,bracket_dup,True,False,,
50557,bankroll.,tail_period_dup,True,False,,
31981,"be,become,seem,remain,stay",comma_dup,True,False,,
16703,began(begin),bracket_dup,True,False,,
43493,behemoth.,tail_period_dup,True,False,,
47648,beware(of),bracket_dup,True,False,,
29267,bill[v.],bracket_dup,True,False,,
35383,by~ing,bracket_garbage,True,False,,
40171,cando(u)r,bracket_dup,True,False,,
38571,confuse...,bracket_garbage,True,False,,
38564,contempt(for...),bracket_garbage,True,False,,
40396,corpor(e)al,bracket_dup,True,False,,
33139,credential(s),bracket_dup,True,False,,
39362,cup(v),bracket_dup,True,False,,
39333,dart(v),bracket_dup,True,False,,
50553,denote.,tail_period_dup,True,False,,
36358,depict(=describe),bracket_dup,True,False,,
35333,dialog(ue),bracket_dup,True,False,,
48554,dike=dyke,bracket_dup,True,False,,
50555,disrupt.,tail_period_dup,True,False,,
50556,disturb.,tail_period_dup,True,False,,
44004,DIY(do-it-yourself),bracket_dup,True,False,,
35331,doctor(Dr.),bracket_dup,True,False,,
38570,earn...,bracket_garbage,True,False,,
41137,earnings.,tail_period_dup,True,False,,
46678,emanate[=originate],bracket_dup,True,False,,
