59358	그 회사는 구내에 나무를 심는 것으로 식목일을 <strong class="target-word">기념했다</strong>.
59359	그 야생 공원은 자동차로 접근이 <strong class="target-word">불가능해서</strong>, 방문객들은 페리를 타고 가야 한다.
59363	Black 숲은 너무 <strong class="target-word">빽빽해서</strong> 한낮에도 어두워 보인다.
59364	기후 변화는 전 세계적으로 중요한 <strong class="target-word">환경</strong> 문제가 되었다.
59365	공장 건설은 정부 환경 규정에 <strong class="target-word">일치해야</strong> 한다.
59366	부적절하게 밀봉된 탱크가 화학 물질이 물속으로 천천히 <strong class="target-word">새게</strong> 했다.
59369	물이 휘발유로 <strong class="target-word">오염되었다</strong>.
59374	그 지역의 수자원이 <strong class="target-word">고갈되면서</strong> 농산물 감소의 원인이 되었다.
59375	그 공장은 지역 주민들에게 제공되기 전에 물을 <strong class="target-word">정화시킨다</strong>.
59392	경영진은 1년에 한 번 <strong class="target-word">종합</strong> 신체검사를 받도록 요구된다.
59395	환자의 종양을 제거하기 위해 수술이 <strong class="target-word">필요할</strong> 수도 있다.
59403	정기적으로 <strong class="target-word">치과</strong> 검진을 받는 것은 중요하다.
59404	보건국은 최적의 영양을 위한 <strong class="target-word">식단</strong> 지침을 발표했다.
59405	<strong class="target-word">관련</strong> 증상을 수반하는 질환들은 제대로 진단하는 것이 어려울 수 있다.
59406	독감 바이러스는 공기를 통해 <strong class="target-word">전염된다</strong>.
59412	그 <strong class="target-word">제약</strong> 회사는 아동용 보조 식품을 판매한다.
59416	약을 복용하는 사람들은 위험성에 대해 <strong class="target-word">알고</strong> 있을 필요가 있다.
59423	약화된 면역 체계는 감기에 걸리기 <strong class="target-word">쉽게</strong> 만든다.
59424	회의가 <strong class="target-word">불쾌할</strong> 정도로 길어져 다른 예정된 약속들이 지연되었습니다.
